Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Salary Estimate Min,Salary Estimate Max,Salary Estimate Mean,Sentences in Job Description
Research & Data Analyst,$43K-$69K (Glassdoor est.),1.0,EVMS,"Norfolk, VA","Chennai, India",501 to 1000 employees,1935,Company - Private,Vehicle Dealers,Retail,Unknown / Non-Applicable,43.0,69.0,56.0,28
Metrics & Data Analyst,$43K-$69K (Glassdoor est.),3.5,"Epsilon Systems Solutions, Inc.","Norfolk, VA","San Diego, CA",501 to 1000 employees,1998,Company - Private,Commercial Equipment Repair & Maintenance,"Construction, Repair & Maintenance",$100 to $500 million (USD),43.0,69.0,56.0,15
Tactical Data Link (TDL) Analyst-,$43K-$69K (Glassdoor est.),3.8,Oasis Systems,"Hampton, VA","Burlington, MA",1001 to 5000 employees,1997,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),43.0,69.0,56.0,18
Senior Data Analyst- Secret Clearance-,$43K-$69K (Glassdoor est.),5.0,Counter Threat Solutions,"Norfolk, VA","Reston, VA",51 to 200 employees,2015,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,43.0,69.0,56.0,37
Data Analyst Junior,$43K-$69K (Glassdoor est.),5.0,"Staffigo Technical Services, LLC","Hampton, VA","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),43.0,69.0,56.0,1
HQ Data Analyst,$43K-$69K (Glassdoor est.),3.0,ITA International,"Newport News, VA","Yorktown, VA",201 to 500 employees,1979,Company - Public,Accounting,Accounting & Legal,$10 to $25 million (USD),43.0,69.0,56.0,14
USMTF Data Analyst,$43K-$69K (Glassdoor est.),3.8,Oasis Systems,"Hampton, VA","Burlington, MA",1001 to 5000 employees,1997,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),43.0,69.0,56.0,38
Mid Data Analyst,$43K-$69K (Glassdoor est.),4.9,"Orbis, Inc.","Portsmouth, VA","Charleston, SC",201 to 500 employees,2000,Company - Private,Architectural & Engineering Services,Business Services,$10 to $25 million (USD),43.0,69.0,56.0,13
Product Data Business Analyst,$43K-$69K (Glassdoor est.),3.7,Ferguson Experienced,"Newport News, VA","Newport News, VA",Unknown,1979,Unknown,Unknown,Unknown,Unknown / Non-Applicable,43.0,69.0,56.0,18
Retail Data Quality Analyst,$43K-$69K (Glassdoor est.),3.5,Liberty Source,"Hampton, VA","Fort Monroe, VA",51 to 200 employees,2014,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),43.0,69.0,56.0,14
USMTF Data Analyst with Security Clearance,$43K-$69K (Glassdoor est.),3.8,"Oasis Systems, LLC","Hampton, VA","Burlington, MA",1001 to 5000 employees,1997,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),43.0,69.0,56.0,35
Senior Data Strategy Analyst (SDSA),$43K-$69K (Glassdoor est.),3.2,National Capitol Contracting (NCC),"Norfolk, VA","Mc Lean, VA",51 to 200 employees,2002,Company - Private,Telecommunications Services,Telecommunications,$10 to $25 million (USD),43.0,69.0,56.0,12
Data Analyst - Va Beach - VA with Security Clearance,$43K-$69K (Glassdoor est.),3.1,Occam Solutions Inc,"Virginia Beach, VA","Herndon, VA",1 to 50 employees,1979,Company - Private,Consulting,Business Services,$5 to $10 million (USD),43.0,69.0,56.0,6
Configuration and Data Management (C&DM) Analyst,$43K-$69K (Glassdoor est.),3.5,Analytical Mechanics Associates,"Hampton, VA","Hampton, VA",201 to 500 employees,1962,Company - Private,Consulting,Business Services,$10 to $25 million (USD),43.0,69.0,56.0,34
Jr Management Analyst (Data Management),$43K-$69K (Glassdoor est.),3.2,"GStek, Inc.","Yorktown, VA","Chesapeake, VA",201 to 500 employees,1992,Company - Private,Aerospace & Defense,Aerospace & Defense,$10 to $25 million (USD),43.0,69.0,56.0,23
Senior Data Analyst,$43K-$69K (Glassdoor est.),4.9,"Orbis, Inc.","Portsmouth, VA","Charleston, SC",201 to 500 employees,2000,Company - Private,Architectural & Engineering Services,Business Services,$10 to $25 million (USD),43.0,69.0,56.0,7
Tactical Data Link (TDL) Analyst,$49K-$112K (Glassdoor est.),3.8,Oasis Systems,"Hampton, VA","Burlington, MA",1001 to 5000 employees,1997,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),49.0,112.0,80.5,19
Sr Data Business Analyst - FacilitySource,$49K-$112K (Glassdoor est.),3.7,CBRE,"Chesapeake, VA","Los Angeles, CA",10000+ employees,1906,Company - Public,Real Estate,Real Estate,Unknown / Non-Applicable,49.0,112.0,80.5,38
Acoustics Data Analyst/Flight Test Engineer,$49K-$112K (Glassdoor est.),3.5,Analytical Mechanics Associates,"Hampton, VA","Hampton, VA",201 to 500 employees,1962,Company - Private,Consulting,Business Services,$10 to $25 million (USD),49.0,112.0,80.5,18
Senior Data Analyst,$49K-$112K (Glassdoor est.),1.0,"Bluemont Technology & Research, Inc.","Norfolk, VA","Mc Lean, VA",1 to 50 employees,1979,Company - Private,Unknown,Unknown,$1 to $5 million (USD),49.0,112.0,80.5,5
Senior Data Analyst- Secret Clearance,$49K-$112K (Glassdoor est.),5.0,Counter Threat Solutions,"Norfolk, VA","Reston, VA",51 to 200 employees,2015,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,49.0,112.0,80.5,28
Senior Data Management Analyst (SDMA),$49K-$112K (Glassdoor est.),3.2,National Capitol Contracting (NCC),"Norfolk, VA","Mc Lean, VA",51 to 200 employees,2002,Company - Private,Telecommunications Services,Telecommunications,$10 to $25 million (USD),49.0,112.0,80.5,8
Data Analyst - Senior Consultant,$49K-$112K (Glassdoor est.),3.4,Guidehouse,"Norfolk, VA","Washington, DC",5001 to 10000 employees,2018,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,49.0,112.0,80.5,10
Data Warehouse Programmer/Analyst,$49K-$112K (Glassdoor est.),3.1,AXSEUM Inc,"Fort Eustis, VA","Alexandria, VA",51 to 200 employees,2002,Company - Private,Consulting,Business Services,$10 to $25 million (USD),49.0,112.0,80.5,24
Data Analyst (Navy) - Mid and Junior Level,$49K-$112K (Glassdoor est.),3.7,"Tamayo Federal Solutions, LLC","Portsmouth, VA","Portsmouth, VA",Unknown,1979,Unknown,Unknown,Unknown,Unknown / Non-Applicable,49.0,112.0,80.5,11
"Data Analyst - Senior Consultant - Norfolk, VA with Security Clearance",$49K-$112K (Glassdoor est.),3.4,Guidehouse,"Norfolk, VA","Washington, DC",5001 to 10000 employees,2018,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,49.0,112.0,80.5,19
Program Analyst - AIS/Maintenance Data System Coordinator,$49K-$112K (Glassdoor est.),3.5,"Epsilon Systems Solutions, Inc.","Norfolk, VA","San Diego, CA",501 to 1000 employees,1998,Company - Private,Commercial Equipment Repair & Maintenance,"Construction, Repair & Maintenance",$100 to $500 million (USD),49.0,112.0,80.5,16
MSC Logistics Data Analyst,$49K-$112K (Glassdoor est.),3.6,CACI International,"Norfolk, VA","Arlington, VA",10000+ employees,1962,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),49.0,112.0,80.5,15
Data Analyst (Navy) - Mid Level,$49K-$112K (Glassdoor est.),3.7,"Tamayo Federal Solutions, LLC","Portsmouth, VA","Portsmouth, VA",Unknown,1979,Unknown,Unknown,Unknown,Unknown / Non-Applicable,49.0,112.0,80.5,10
Business Intelligence & Data Analyst,$49K-$112K (Glassdoor est.),3.7,PROSOFT,"Norfolk, VA","Virginia Beach, VA",201 to 500 employees,1979,Contract,IT Services,Information Technology,Unknown / Non-Applicable,49.0,112.0,80.5,21
Sr Data Business Analyst - FacilitySource,$49K-$112K (Glassdoor est.),3.6,FacilitySource,"Chesapeake, VA","Phoenix, AZ",1001 to 5000 employees,2001,Company - Public,Building & Personnel Services,Business Services,$100 to $500 million (USD),49.0,112.0,80.5,38
Senior Data Analyst (Navy),$49K-$112K (Glassdoor est.),3.7,"Tamayo Federal Solutions, LLC","Portsmouth, VA","Portsmouth, VA",Unknown,1979,Unknown,Unknown,Unknown,Unknown / Non-Applicable,49.0,112.0,80.5,10
NIWC Service Desk Analyst Component Enterprise Data Center (CEDC with Security Clearance,$49K-$112K (Glassdoor est.),3.3,Universal Consulting Services,"Norfolk, VA","Fairfax, VA",201 to 500 employees,2000,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),49.0,112.0,80.5,35
NIWC Service Desk Analyst Component Enterprise Data Center (CEDC).,$49K-$112K (Glassdoor est.),3.3,"Universal Consulting Services, Inc.","Norfolk, VA","Fairfax, VA",201 to 500 employees,2000,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),49.0,112.0,80.5,28
Junior Data Analyst,$30K-$54K (Glassdoor est.),5.0,"Staffigo Technical Services, LLC","Gainesville, FL","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),30.0,54.0,42.0,1
Data Analyst,$30K-$54K (Glassdoor est.),5.0,"Staffigo Technical Services, LLC","Gainesville, FL","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),30.0,54.0,42.0,1
Data Analyst,$30K-$54K (Glassdoor est.),4.3,University of Florida,"Gainesville, FL","Gainesville, FL",10000+ employees,1853,College / University,Colleges & Universities,Education,$1 to $2 billion (USD),30.0,54.0,42.0,23
AvMed Data Governance Analyst,$30K-$54K (Glassdoor est.),3.1,AvMed Health Plans,"Gainesville, FL","Gainesville, FL",501 to 1000 employees,1996,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion (USD),30.0,54.0,42.0,29
Data Management Analyst II,$30K-$54K (Glassdoor est.),3.3,Shands Jacksonville,"Alachua, FL","Jacksonville, FL",1001 to 5000 employees,1984,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),30.0,54.0,42.0,18
Data Analyst Junior,$30K-$54K (Glassdoor est.),5.0,"Staffigo Technical Services, LLC","Gainesville, FL","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),30.0,54.0,42.0,1
Data Analyst â Junior,$30K-$54K (Glassdoor est.),5.0,"Staffigo Technical Services, LLC","Gainesville, FL","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),30.0,54.0,42.0,1
IT Analyst III Data Systems,$30K-$54K (Glassdoor est.),3.3,Shands Jacksonville,"Gainesville, FL","Jacksonville, FL",1001 to 5000 employees,1984,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),30.0,54.0,42.0,30
Product Data Analyst,$55K-$103K (Glassdoor est.),3.1,Stamps.com,"El Segundo, CA","El Segundo, CA",1001 to 5000 employees,1996,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),55.0,103.0,79.0,21
Lead Data Analyst,$55K-$103K (Glassdoor est.),3.6,Headspace,"Santa Monica, CA","Santa Monica, CA",201 to 500 employees,2010,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,55.0,103.0,79.0,12
Data Analytics Insights Analyst,$55K-$103K (Glassdoor est.),3.7,Neustar,"Los Angeles, CA","Sterling, VA",1001 to 5000 employees,1996,Company - Private,Internet,Information Technology,$500 million to $1 billion (USD),55.0,103.0,79.0,40
Data Analyst,$55K-$103K (Glassdoor est.),5.0,Wellth Inc.,"Los Angeles, CA","New York, NY",1 to 50 employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),55.0,103.0,79.0,25
Data Analyst,$55K-$103K (Glassdoor est.),3.7,People Tree,"Hermosa Beach, CA","Hermosa Beach, CA",1 to 50 employees,2013,Self-employed,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,55.0,103.0,79.0,20
Data Analyst,$55K-$103K (Glassdoor est.),5.0,"Staffigo Technical Services, LLC","Los Angeles, CA","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),55.0,103.0,79.0,1
Product Data & Insights Analyst,$55K-$103K (Glassdoor est.),3.3,Ruggable,"Gardena, CA","Los Angeles, CA",1 to 50 employees,1979,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,55.0,103.0,79.0,24
Survey Data Analyst,$55K-$103K (Glassdoor est.),5.0,First Professional Services,"Los Angeles, CA","Piscataway, NJ",51 to 200 employees,2018,Subsidiary or Business Segment,Internet,Information Technology,$1 to $5 million (USD),55.0,103.0,79.0,4
Senior Data Analyst,$55K-$103K (Glassdoor est.),3.6,Steady,"Los Angeles, CA","Atlanta, GA",1 to 50 employees,2017,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,55.0,103.0,79.0,32
Data Analyst,$55K-$103K (Glassdoor est.),4.3,"ConsultNet, LLC","Burbank, CA","South Jordan, UT",201 to 500 employees,1996,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),55.0,103.0,79.0,17
Data Analyst,$55K-$103K (Glassdoor est.),4.3,Signal Sciences,"Los Angeles, CA","Culver City, CA",51 to 200 employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,55.0,103.0,79.0,14
Data and Policy Analyst - Statistical Programmer,$55K-$103K (Glassdoor est.),3.2,Acumen,"Los Angeles, CA","Burlingame, CA",201 to 500 employees,1996,Company - Private,Federal Agencies,Government,$10 to $25 million (USD),55.0,103.0,79.0,10
Data Analyst,$55K-$103K (Glassdoor est.),4.5,HireTalent,"Los Angeles, CA","New York, NY",201 to 500 employees,1997,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),55.0,103.0,79.0,2
"Senior Data Analyst, Marketing",$55K-$103K (Glassdoor est.),4.3,Dave,"Los Angeles, CA","Los Angeles, CA",1 to 50 employees,2016,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,55.0,103.0,79.0,11
Data Analyst,$55K-$103K (Glassdoor est.),3.7,Expertise LLC,"Los Angeles, CA","Seattle, WA",1 to 50 employees,1979,Contract,Unknown,Unknown,Unknown / Non-Applicable,55.0,103.0,79.0,11
Data Analyst,$55K-$103K (Glassdoor est.),4.0,Lorven Technologies Inc,"Los Angeles, CA","Plainsboro, NJ",1 to 50 employees,1979,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),55.0,103.0,79.0,5
Data Analyst,$55K-$103K (Glassdoor est.),3.7,Eleven Recruiting - CHURN,"Los Angeles, CA","Los Angeles, CA",1 to 50 employees,1979,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,55.0,103.0,79.0,10
Data Analyst,$55K-$103K (Glassdoor est.),3.6,ICONMA,"Culver City, CA","Troy, MI",1001 to 5000 employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),55.0,103.0,79.0,6
Data Analyst,$55K-$103K (Glassdoor est.),3.5,HITRECORD,"Los Angeles, CA","Van Nuys, CA",1 to 50 employees,1979,Company - Private,Unknown,Unknown,Less than $1 million (USD),55.0,103.0,79.0,23
Data Analyst,$55K-$103K (Glassdoor est.),5.0,Dot818,"Glendale, CA","Glendale, CA",1 to 50 employees,2011,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,55.0,103.0,79.0,4
Data Analyst,$55K-$103K (Glassdoor est.),3.4,DatamanUSA,"Los Angeles, CA","Centennial, CO",51 to 200 employees,1979,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),55.0,103.0,79.0,10
Senior Database Analyst - Data Warehouse,$55K-$103K (Glassdoor est.),3.9,Cedars-Sinai,"Los Angeles, CA","Los Angeles, CA",10000+ employees,1902,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),55.0,103.0,79.0,11
Data Analyst,$55K-$103K (Glassdoor est.),3.7,Eleven Recruiting - CHURN,"Los Angeles, CA","Los Angeles, CA",Unknown,1979,Unknown,Unknown,Unknown,Unknown / Non-Applicable,55.0,103.0,79.0,10
Data Analyst,$55K-$103K (Glassdoor est.),3.5,Robert Half,"El Segundo, CA","Menlo Park, CA",10000+ employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),55.0,103.0,79.0,18
Data Analyst – Finance,$55K-$103K (Glassdoor est.),3.2,Radiology Partners,"El Segundo, CA","El Segundo, CA",1001 to 5000 employees,2012,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,55.0,103.0,79.0,15
Data Analyst,$55K-$103K (Glassdoor est.),4.7,PeerStreet,"El Segundo, CA","El Segundo, CA",51 to 200 employees,1979,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,55.0,103.0,79.0,32
Data Analyst,$55K-$103K (Glassdoor est.),4.7,PlayQ,"Santa Monica, CA","Santa Monica, CA",51 to 200 employees,2007,Company - Private,Video Games,Media,Unknown / Non-Applicable,55.0,103.0,79.0,14
Data Analyst,$55K-$103K (Glassdoor est.),4.0,Lucky Day,"Los Angeles, CA","Los Angeles, CA",1 to 50 employees,2014,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,55.0,103.0,79.0,12
Data and Reporting Analyst,$55K-$103K (Glassdoor est.),3.4,Didi Hirsch Mental Health Services,"Inglewood, CA","Culver City, CA",201 to 500 employees,1944,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,55.0,103.0,79.0,66
Data Analyst,$37K-$70K (Glassdoor est.),3.7,Center For Policing Equity,"Los Angeles, CA","New York, NY",51 to 200 employees,1979,Nonprofit Organization,Colleges & Universities,Education,Unknown / Non-Applicable,37.0,70.0,53.5,6
Advanced Data Analytics Analyst,$37K-$70K (Glassdoor est.),3.7,Human Good,"Glendale, CA","Vancouver, Canada",1 to 50 employees,1979,Company - Private,TV Broadcast & Cable Networks,Media,Unknown / Non-Applicable,37.0,70.0,53.5,33
Data Analyst,$37K-$70K (Glassdoor est.),4.1,Swinerton Builders,"Los Angeles, CA","San Francisco, CA",1001 to 5000 employees,1888,Company - Private,Construction,"Construction, Repair & Maintenance",$2 to $5 billion (USD),37.0,70.0,53.5,7
Data Analyst,$37K-$70K (Glassdoor est.),3.1,"Relevante, Inc.","Los Angeles, CA","Berwyn, PA",51 to 200 employees,2002,Company - Private,Consulting,Business Services,$10 to $25 million (USD),37.0,70.0,53.5,7
Data Analyst,$37K-$70K (Glassdoor est.),3.7,"iSpace, Inc","Glendale, CA","El Segundo, CA",51 to 200 employees,2000,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),37.0,70.0,53.5,1
Data Analyst,$37K-$70K (Glassdoor est.),3.7,Kharon,"Los Angeles, CA","Los Angeles, CA",51 to 200 employees,2017,Company - Public,Unknown,Unknown,$5 to $10 million (USD),37.0,70.0,53.5,32
Senior Data Intelligence Analyst,$37K-$70K (Glassdoor est.),3.9,Cedars-Sinai,"Los Angeles, CA","Los Angeles, CA",10000+ employees,1902,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),37.0,70.0,53.5,37
"Sr. Data Analyst, Consumer Applications",$37K-$70K (Glassdoor est.),3.8,System1,"Venice, CA","Venice, CA",201 to 500 employees,2013,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,37.0,70.0,53.5,4
Data Governance Analyst,$37K-$70K (Glassdoor est.),3.5,Western Asset,"Pasadena, CA","Pasadena, CA",501 to 1000 employees,1971,Subsidiary or Business Segment,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,37.0,70.0,53.5,19
Data Analyst,$37K-$70K (Glassdoor est.),5.0,Tilde Staff Inc.,"Pasadena, CA","Pasadena, CA",1 to 50 employees,1979,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,37.0,70.0,53.5,5
"Senior Data Analyst, Data Insights",$37K-$70K (Glassdoor est.),3.8,Hulu,"Santa Monica, CA","Santa Monica, CA",1001 to 5000 employees,2007,Company - Private,TV Broadcast & Cable Networks,Media,$1 to $2 billion (USD),37.0,70.0,53.5,11
Data Analyst,$37K-$70K (Glassdoor est.),3.8,Login Consulting Services,"El Segundo, CA","El Segundo, CA",51 to 200 employees,1979,Company - Private,Consulting,Business Services,$5 to $10 million (USD),37.0,70.0,53.5,17
Workday Technical Analyst- Data Conversions,$37K-$70K (Glassdoor est.),4.2,University of Southern California,"Los Angeles, CA","Los Angeles, CA",10000+ employees,1880,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),37.0,70.0,53.5,33
Data Analyst Healthcare - Experienced or Entry Level,$37K-$70K (Glassdoor est.),3.1,Delmarva Foundation,"Cerritos, CA","Easton, MD",501 to 1000 employees,1973,Nonprofit Organization,Consulting,Business Services,$50 to $100 million (USD),37.0,70.0,53.5,43
Woocommerce Data Governance Analyst,$37K-$70K (Glassdoor est.),4.1,LiveGlam,"Los Angeles, CA","Los Angeles, CA",51 to 200 employees,2016,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,37.0,70.0,53.5,15
"Analyst, Data Operations",$37K-$70K (Glassdoor est.),3.9,Warner Bros. Entertainment,"Burbank, CA","Burbank, CA",5001 to 10000 employees,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),37.0,70.0,53.5,40
Data Analyst,$37K-$70K (Glassdoor est.),3.7,NextDeavor Services,"Carson, CA","Carson, CA",Unknown,1979,Unknown,Unknown,Unknown,Unknown / Non-Applicable,37.0,70.0,53.5,7
Data Analyst,$37K-$70K (Glassdoor est.),3.5,Cenergy,"Irwindale, CA","Milton, WV",51 to 200 employees,1979,Company - Private,Construction,"Construction, Repair & Maintenance",$10 to $25 million (USD),37.0,70.0,53.5,19
Data Analyst (Apex Legends),$37K-$70K (Glassdoor est.),3.9,Electronic Arts,"Los Angeles, CA","Redwood City, CA",5001 to 10000 employees,1982,Company - Public,Video Games,Media,$2 to $5 billion (USD),37.0,70.0,53.5,27
Data Intelligence Analyst II ( Epic Certification Required ),$37K-$70K (Glassdoor est.),3.9,Cedars-Sinai,"Los Angeles, CA","Los Angeles, CA",10000+ employees,1902,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),37.0,70.0,53.5,57
Market Data Analyst,$37K-$70K (Glassdoor est.),3.9,Capital Group,"Los Angeles, CA","Los Angeles, CA",5001 to 10000 employees,1931,Company - Private,Investment Banking & Asset Management,Finance,$1 to $2 billion (USD),37.0,70.0,53.5,34
"Sr Analyst, Data Operations",$37K-$70K (Glassdoor est.),3.7,Turner Broadcasting,"Burbank, CA","New York, NY",10000+ employees,2003,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media,$10+ billion (USD),37.0,70.0,53.5,48
Data Analyst (Ryan White),$37K-$70K (Glassdoor est.),4.7,AIDS Healthcare Foundation,"Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,1987,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),37.0,70.0,53.5,16
Senior Data Analyst,$37K-$70K (Glassdoor est.),4.0,Lucky Day,"Los Angeles, CA","Los Angeles, CA",1 to 50 employees,2014,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,37.0,70.0,53.5,15
"Data System Analyst I, LACERA (Senior Java Developer)",$37K-$70K (Glassdoor est.),3.5,LACERA,"Pasadena, CA","Pasadena, CA",201 to 500 employees,1938,Government,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),37.0,70.0,53.5,104
Data Analyst,$37K-$70K (Glassdoor est.),2.9,Arize Corporation,"Anaheim, CA","New York, NY",201 to 500 employees,1979,Company - Private,Publishing,Media,$50 to $100 million (USD),37.0,70.0,53.5,6
Data Analyst,$37K-$70K (Glassdoor est.),2.8,SAG-AFTRA Health Plan and SAG-Producers Pension Plan,"Burbank, CA","Burbank, CA",Unknown,1979,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,37.0,70.0,53.5,26
Data Analyst,$37K-$70K (Glassdoor est.),3.1,Computershare,"El Segundo, CA","Melbourne, Australia",10000+ employees,1978,Company - Public,Financial Transaction Processing,Finance,$2 to $5 billion (USD),37.0,70.0,53.5,65
Junior Data Analyst,$37K-$70K (Glassdoor est.),5.0,"Staffigo Technical Services, LLC","Los Angeles, CA","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),37.0,70.0,53.5,1
Data Analyst,$57K-$103K (Glassdoor est.),3.2,Cenergy International,"Irwindale, CA","Houston, TX",51 to 200 employees,1979,Company - Private,Consulting,Business Services,$10 to $25 million (USD),57.0,103.0,80.0,18
Marketing Data Analyst,$57K-$103K (Glassdoor est.),5.0,Scale Media,"Los Angeles, CA","Sherman Oaks, CA",1 to 50 employees,1979,Company - Public,Advertising & Marketing,Business Services,Unknown / Non-Applicable,57.0,103.0,80.0,17
Data and Policy Analyst - Writer/Coordinator,$57K-$103K (Glassdoor est.),3.2,Acumen,"Los Angeles, CA","Burlingame, CA",201 to 500 employees,1996,Company - Private,Federal Agencies,Government,$10 to $25 million (USD),57.0,103.0,80.0,10
Sr. Data/Report System Analyst,$57K-$103K (Glassdoor est.),3.9,Cedars-Sinai,"Beverly Hills, CA","Los Angeles, CA",10000+ employees,1902,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),57.0,103.0,80.0,28
Equity Data/Research Analyst,$57K-$103K (Glassdoor est.),3.7,Selby Jennings Buyside,"Los Angeles, CA","Los Angeles, CA",Unknown,1979,Unknown,Unknown,Unknown,Unknown / Non-Applicable,57.0,103.0,80.0,5
Senior Data Analyst,$57K-$103K (Glassdoor est.),4.5,Mobilityware,"Los Angeles, CA","Irvine, CA",51 to 200 employees,1990,Company - Private,Video Games,Media,Unknown / Non-Applicable,57.0,103.0,80.0,20
Data Analyst,$57K-$103K (Glassdoor est.),3.9,Acorns,"Anaheim, CA","Irvine, CA",201 to 500 employees,1979,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,57.0,103.0,80.0,24
Data Analyst - (Python),$57K-$103K (Glassdoor est.),5.0,LEAPROS,"Long Beach, CA","Dana Point, CA",1 to 50 employees,1979,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,57.0,103.0,80.0,9
Data Analyst / Developer,$57K-$103K (Glassdoor est.),3.7,Kforce Technology Staffing,"Los Angeles, CA","Los Angeles, CA",Unknown,1979,Unknown,Unknown,Unknown,Unknown / Non-Applicable,57.0,103.0,80.0,3
Data Analyst I,$57K-$103K (Glassdoor est.),3.1,L.A. Care Health Plan,"Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,1997,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,57.0,103.0,80.0,50
Senior Data Analyst,$57K-$103K (Glassdoor est.),3.6,Superior Court of California County of Los Angeles,"Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,1979,Government,Municipal Governments,Government,Unknown / Non-Applicable,57.0,103.0,80.0,95
Senior Data Analyst,$57K-$103K (Glassdoor est.),3.3,Tillster,"Los Angeles, CA","San Diego, CA",51 to 200 employees,2001,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),57.0,103.0,80.0,23
Billingual Chinese - Data Analyst,$57K-$103K (Glassdoor est.),3.7,Tripalink,"Los Angeles, CA","Los Angeles, CA",1 to 50 employees,2016,Company - Public,Real Estate,Real Estate,Unknown / Non-Applicable,57.0,103.0,80.0,8
Senior Data Analyst,$57K-$103K (Glassdoor est.),4.6,TutorMe,"Los Angeles, CA","Los Angeles, CA",51 to 200 employees,2015,Subsidiary or Business Segment,Colleges & Universities,Education,Unknown / Non-Applicable,57.0,103.0,80.0,17
